id	name	conference	abbrvs
1	Arizona State	Pac-12	ASU
2	Ball State	Mid-American	BALL
3	Brigham Young	Independent	BYU
4	Central Florida	Conference USA	UCF
5	Central Michigan	Mid-American	CMU
6	Connecticut	Big East	UCONN
7	Eastern Washington	FCS	EWU
8	Kent State	Mid-American	KENT
9	McNeese State	FCS	MCNST
10	Minnesota	Big Ten	MINN
11	New Mexico State	Western Athletic	NMSU
12	South Carolina	Southeastern	SC
13	UCLA	Pac-12	UCLA
14	Utah	Pac-12	UTAH
15	Utah State	Western Athletic	UTST
16	Florida Atlantic	Sun Belt	FAU
17	Michigan State	Big Ten	MSU
18	Stanford	Pac-12	STAN
19	Temple	Big East	TEM
20	Tennessee	Southeastern	TEN
21	Air Force	Mountain West	AF
22	Alabama	Southeastern	BAMA
23	Arizona	Pac-12	ARI
24	Arkansas	Southeastern	ARK
25	Clemson	Atlantic Coast	CLEM
26	Colorado State	Mountain West	COLS
27	Duke	Atlantic Coast	DUKE
28	East Carolina	Conference USA	ECU
29	Florida	Southeastern	UF
30	Florida State	Atlantic Coast	FSU
31	Fresno State	Mountain West	FRES
32	Georgia	Southeastern	UGA
33	Illinois	Big Ten	IL
34	Indiana	Big Ten	IND
35	Iowa	Big Ten	IOWA
36	Iowa State	Big 12	ISU
37	Kansas	Big 12	KU
38	Kansas State	Big 12	KSU
39	Louisiana State	Southeastern	LSU
40	Louisiana-Lafayette	Sun Belt	LA-L
41	Maryland	Atlantic Coast	MARY
42	Miami FL	Atlantic Coast	MIA
43	Mississippi	Southeastern	OLE
44	Mississippi State	Southeastern	MISS ST
45	Missouri	Southeastern	MIZZ
46	Nebraska	Big Ten	NEB
47	Nevada	Mountain West	NEV
48	New Mexico	Mountain West	NM
49	North Carolina	Atlantic Coast	UNC
50	Northwestern	Big Ten	NU
51	Notre Dame	Independent	ND
52	Ohio	Mid-American	OHIO
53	Ohio State	Big Ten	OSU
54	Oklahoma	Big 12	OU
55	Oklahoma State	Big 12	OKST
56	Oregon	Pac-12	ORE
57	Purdue	Big Ten	PUR
58	Rutgers	Big East	RUT
59	South Florida	Big East	SFU
60	Southern California	Pac-12	USC
61	Tennessee-Martin	FCS	TNMT
62	Texas	Big 12	TEX
63	Texas State	Western Athletic	TEXST
64	Texas Tech	Big 12	TTU
65	Texas-San Antonio	Western Athletic	UTSA
66	Troy	Sun Belt	TROY
67	Virginia	Atlantic Coast	UVA
68	Wake Forest	Atlantic Coast	WAKE
69	Washington	Pac-12	WASH
70	West Virginia	Big 12	WV
71	Western Kentucky	Sun Belt	WKU
72	Wisconsin	Big Ten	WIS
73	Youngstown State	FCS	YST
74	Baylor	Big 12	BAY
75	Louisville	Big East	LOU
76	Virginia Tech	Atlantic Coast	VT
77	Cincinnati	Big East	CIN
78	Arkansas State	Sun Belt	ARKST
79	Boston College	Atlantic Coast	BC
80	Bowling Green State	Mid-American	BG
81	Buffalo	Mid-American	BUF
82	California	Pac-12	CAL
83	Florida International	Sun Belt	FIU
84	Georgia Tech	Atlantic Coast	GT
85	Illinois State	FCS	ILST
86	Kentucky	Southeastern	UK
87	Louisiana Tech	Western Athletic	LTU
88	Louisiana-Monroe	Sun Belt	LA-M
89	Marshall	Conference USA	MAR 
90	Miami OH	Mid-American	MIA-O
91	Michigan	Big Ten	MICH
92	Middle Tennessee State	Sun Belt	MTSU
93	North Carolina State	Atlantic Coast	NCST
94	North Dakota State	FCS	NDKST
95	North Texas	Sun Belt	NTEX
96	Northern Arizona	FCS	NOAZ
97	Northern Illinois	Mid-American	NIU
98	Oregon State	Pac-12	ORST
99	Rice	Conference USA	RICE
100	Sacramento State	FCS	SACRST
101	San Diego State	Mountain West	SDSU
102	San Jose State	Western Athletic	SJSU
103	South Alabama	Sun Belt	SOBAMA
104	Southern Methodist	Conference USA	SMU
105	Texas Christian	Big 12	TCU
106	Toledo	Mid-American	TOL
107	Tulsa	Conference USA	TULSA
108	Washington State	Pac-12	WSU
109	Western Michigan	Mid-American	WMU
110	Akron	Mid-American	AKRON
111	Auburn	Southeastern	AUB
112	Boise State	Mountain West	BST
113	Cal Poly	FCS	CAL-P
114	Hawaii	Mountain West	HAW
115	Penn State	Big Ten	PENN
116	Pittsburgh	Big East	PITT
117	Syracuse	Big East	SYR
118	Texas A&M	Southeastern	TAMU
119	Texas-El Paso	Conference USA	UT-EP
120	Vanderbilt	Southeastern	VAN
121	Colorado	Pac-12	COL
122	Navy	Independent	NAVY
123	Nevada-Las Vegas	Mountain West	UNLV
124	Wyoming	Mountain West	WYO
125	Houston	Conference USA	HOU
126	Stony Brook	FCS	STBRK
127	Alabama-Birmingham	Conference USA	UAB
128	Army	Independent	ARMY
129	Idaho	Western Athletic	ID
130	Memphis	Conference USA	MEM
131	Tulane	Conference USA	TULA
132	Eastern Michigan	Mid-American	EMU
133	Massachusetts	Mid-American	UMASS
134	Southeast Missouri State	FCS	SEMIZZ
135	Towson	FCS	TOW
136	Northern Colorado	FCS	NOCOL
137	Southern Utah	FCS	SUTAH
138	Wagner	FCS	WAG
139	Villanova	FCS	VILL
140	Idaho State	FCS	IDST
141	Jacksonville State	FCS	JVILST
142	Appalachian State	FCS	APPST
143	Murray State	FCS	MURR
144	Weber State	FCS	WEBST
145	Indiana State	FCS	INDST
146	South Dakota State	FCS	SDKSU
147	Missouri State	FCS	MIZZST
148	Lamar	FCS	LAMAR
149	William & Mary	FCS	W&M
150	Central Arkansas	FCS	C-ARK
151	Jackson State	FCS	JST
152	Southeastern Louisiana	FCS	SE LOU
153	Southern Mississippi	Conference USA	SO MISS
154	Southern	FCS	STHRN
155	Elon	FCS	ELON
156	Savannah State	FCS	SAVST
157	Eastern Kentucky	FCS	EKU
158	Chattanooga	FCS	CHATT
159	Northwestern State	FCS	NWST
160	Richmond	FCS	RICH
161	Liberty	FCS	LIB
162	Austin Peay	FCS	PEAY
163	Northern Iowa	FCS	UNI
164	Maine	FCS	MAINE
165	Morgan State	FCS	MORG
166	Presbyterian	FCS	PRESB
167	Western Carolina	FCS	WCU
168	Southern Illinois	FCS	SILLN
169	New Hampshire	FCS	NHAMP
170	Texas Southern	FCS	TEXSTH
171	Florida A&M	FCS	F A&M
172	Howard	FCS	HOW
173	California-Davis	FCS	UC-D
174	Nicholls State	FCS	NICHST
175	Stephen F. Austin	FCS	SFAUST
176	Georgia State	FCS	GEORST
177	Grambling State	FCS	GRAMB
178	Texas A&M-Commerce	Division II	T A&M-C
179	Eastern Illinois	FCS	EILLN
180	South Carolina State	FCS	SCST
181	Sam Houston State	FCS	SAMH
182	Delaware State	FCS	DELST
183	Furman	FCS	FUR
184	North Carolina Central	FCS	NCC
185	Charleston Southern	FCS	CHSOU
186	Western Illinois	FCS	W ILLN
187	Bethune-Cookman	FCS	BETHCK
188	Tennessee Tech	FCS	TENN TECH
189	North Dakota	FCS	NDK
190	Portland State	FCS	PORTST
191	James Madison	FCS	JAMES
192	Alcorn State	FCS	ALCORN
193	Virginia Military Institute	FCS	VMI
194	Citadel	FCS	CIT
195	South Dakota	FCS	USD
196	Norfolk State	FCS	NFLKST
197	Gardner-Webb	FCS	GARDWB
198	Northwestern Oklahoma State	Division II	NWOKST
199	Coastal Carolina	FCS	CC
200	Rhode Island	FCS	RI
201	Fordham	FCS	FORD
202	Alabama A&M	FCS	BAMA A&M
203	Georgia Southern	FCS	GA SOU
204	Samford	FCS	SAMF
205	Wofford	FCS	WOFF
